REF_ID;ORDEM_BD;;SITE;AREA_HA;MUNICIPALITY;STATE;COUNTRY;LONG_X;LAT_Y;PRECISION;HABITAT_TYPE;SURROUNDING_MATRIX__5_KM_BUFFER_;UC;RECORD_YEAR;RECORD_MONTH;DATA_TYPE;SPECIES;METHOD;N_POINTS;D_POINTS;LTR_EFF;LTR_ABD_10KM;LTR_DENS_KM2;LTR_DENS_HA;CAM_EFF;CAM_ABD;LT_EFF;LT_ABD;LT_DENS_KM2;LT_DENS_HA;OBS;filename
Unpublished data;ABUND0001;;Fazenda Nhumirim;NA;Corumba;MS;Brazil;-56.666618;-18.993189;10;Pantanal;Pantanal;NO;2012;January;Abundance Precise;Sus scrofa;Camera trapping;281;500;NA;NA;NA;NA;4361;20;NA;NA;NA;NA;na;NEOTROPICAL_INVASIVE_MAMMALS_BarbantiDuarte_JM_2018_03_21_OCCOR_validchar.txt
Unpublished data;ABUND0002;;Fazenda Nhumirim;NA;Corumba;MS;Brazil;-56.66674;-18.989357;11;Pantanal;Pantanal;NO;2012;January;Abundance Precise;Sus scrofa;Camera trapping;281;500;NA;NA;NA;NA;4361;20;NA;NA;NA;NA;na;NEOTROPICAL_INVASIVE_MAMMALS_BarbantiDuarte_JM_2018_03_21_OCCOR_validchar.txt
Unpublished data;ABUND0003;;Fazenda Nhumirim;NA;Corumba;MS;Brazil;-56.667475;-18.992259;12;Pantanal;Pantanal;NO;2012;January;Abundance Precise;Sus scrofa;Camera trapping;281;500;NA;NA;NA;NA;4361;20;NA;NA;NA;NA;na;NEOTROPICAL_INVASIVE_MAMMALS_BarbantiDuarte_JM_2018_03_21_OCCOR_validchar.txt
Unpublished data;ABUND0004;;Fazenda Nhumirim;NA;Corumba;MS;Brazil;-56.667475;-18.992259;13;Pantanal;Pantanal;NO;2012;January;Abundance Precise;Sus scrofa;Camera trapping;281;500;NA;NA;NA;NA;4361;20;NA;NA;NA;NA;na;NEOTROPICAL_INVASIVE_MAMMALS_BarbantiDuarte_JM_2018_03_21_OCCOR_validchar.txt
Unpublished data;ABUND0005;;Fazenda Nhumirim;NA;Corumba;MS;Brazil;-56.667475;-18.992259;14;Pantanal;Pantanal;NO;2012;January;Abundance Precise;Sus scrofa;Camera trapping;281;500;NA;NA;NA;NA;4361;20;NA;NA;NA;NA;na;NEOTROPICAL_INVASIVE_MAMMALS_BarbantiDuarte_JM_2018_03_21_OCCOR_validchar.txt
Unpublished data;ABUND0006;;Fazenda Nhumirim;NA;Corumba;MS;Brazil;-56.668807;-18.991014;15;Pantanal;Pantanal;NO;2012;January;Abundance Precise;Sus scrofa;Camera trapping;281;500;NA;NA;NA;NA;4361;20;NA;NA;NA;NA;na;NEOTROPICAL_INVASIVE_MAMMALS_BarbantiDuarte_JM_2018_03_21_OCCOR_validchar.txt
Unpublished data;ABUND0007;;Fazenda Nhumirim;NA;Corumba;MS;Brazil;-56.668807;-18.991014;16;Pantanal;Pantanal;NO;2012;January;Abundance Precise;Sus scrofa;Camera trapping;281;500;NA;NA;NA;NA;4361;20;NA;NA;NA;NA;na;NEOTROPICAL_INVASIVE_MAMMALS_BarbantiDuarte_JM_2018_03_21_OCCOR_validchar.txt
Unpublished data;ABUND0008;;Fazenda Nhumirim;NA;Corumba;MS;Brazil;-56.669472;-18.991187;17;Pantanal;Pantanal;NO;2012;January;Abundance Precise;Sus scrofa;Camera trapping;281;500;NA;NA;NA;NA;4361;20;NA;NA;NA;NA;na;NEOTROPICAL_INVASIVE_MAMMALS_BarbantiDuarte_JM_2018_03_21_OCCOR_validchar.txt
Unpublished data;ABUND0009;;Fazenda Nhumirim;NA;Corumba;MS;Brazil;-56.669472;-18.991187;18;Pantanal;Pantanal;NO;2012;January;Abundance Precise;Sus scrofa;Camera trapping;281;500;NA;NA;NA;NA;4361;20;NA;NA;NA;NA;na;NEOTROPICAL_INVASIVE_MAMMALS_BarbantiDuarte_JM_2018_03_21_OCCOR_validchar.txt
Unpublished data;ABUND0010;;Fazenda Nhumirim;NA;Corumba;MS;Brazil;-56.669472;-18.991187;19;Pantanal;Pantanal;NO;2012;January;Abundance Precise;Sus scrofa;Camera trapping;281;500;NA;NA;NA;NA;4361;20;NA;NA;NA;NA;na;NEOTROPICAL_INVASIVE_MAMMALS_BarbantiDuarte_JM_2018_03_21_OCCOR_validchar.txt
