REF_ID;PUB_TYPE;REFERENCE
REF001;Data base ;Collections and Research Online Databases. Accessed through GBIF data portal <http://www.sbcollections.org/vz/agreement.php>
REF002;Article;"Abreu, F.; De la Fuente, M. F. C.; Schiel, N.; and Souto, A. 2016. Feeding ecology and behavioral adjustments: flexibility of a small neotropical primate (Callithrix jacchus) to survive in a semiarid environment. Mammal Research, 61(3): 221-229."
REF003;Article;"Aguiar, K. M. O.; and Naiff, R. H. 2009. Aspectos reprodutivos e dieta alimentar dos ninhegos de Rhinoptynx clamator (Aves: Strigidae) no campus Marco Zero da Universidade Federal do Amapá. Acta Amazonica, 39:221-224."
REF004;Article;Aguiar, L. M., G. Ludwig, W. K. Svoboda, C. L. S. Hilts, I. T. Navarro, and F. C. Passos. 2007. Occurrence, local extinction and conservation of Primates in the corridor of the Upper Paraná River, with notes on other mammals. Revista Brasileira de Zoologia 24:898-906.
REF005;Article;"Albuquerque, N. M.; Silvestre, S. M.; Cardoso, T. S.; Ruiz-Esparza, J. M.; Rocha, P. A.; Beltrao-Mendes, R.; and Ferrari, S. F. 2014. Capture of a common marmoset -Callithrix jacchus- by a capuchin -Sapajus sp.- in the Ibura National Forest, Sergipe -Brazil-. Neotropical Primates, 21 (2): 218-220."
REF006;Thesis;Alexandre, B. R. 2013. Abordagem multiescalar para analise da distribuicao geográfica e conservação do habitat: um estudo de caso com Leontopithecus rosalia. Universidade Federal do Rio de Janeiro (UFRJ). 
REF007;Article;"Alexandrino, E. R.; Luz, D. A. T. ; Maggiorini, E. V. ; and Ferraz, K. M. P. M. B. 2012. Nest stolen: the first observation of nest predation by an invasive exotic marmoset (Callithrix penicillata) in an agricultural mosaic. Biota Neotropica, 12 (2): 211-215."
REF008;Article;"Almeida, M. V.; Paula, H. M. G; and Tavora, R. S. 2006. Observer effects on the behavior of non-habituated wild living marmosets (Callithrix jacchus). REVISTA DE ETOLOGIA, 2: 81-87."
REF009;Data base ;Alvarez Castaneda, S. T. 2007. Creacion de la base de datos de los Parques Nacionales Sierra de San Pedro Martir y Constitucion de 1857, y de la Reserva de la Biosfera Islas del Golfo de California para el grupo de los mamiferos. Centro de Investigaciones Biologicas del Noroeste S.C., Bases de datos SNIB-CONABIO proyecto No. BK011 Mexico D. F. Accessed through GBIF data portal <https://www.gbif.org/dataset/46d6da49-179c-49c6-bb62-b237c7ec5c3b/project>
REF010;Data base ;Alvarez Castaneda, S. T. 2008. Computarizacion de la Coleccion de mamiferos del Centro de Investigaciones Biologicas del Noroeste SC. Centro de Investigaciones Biologicas del Noroeste. Bases de datos SNIB-CONABIO proyecto No.CC001. Mexico D. F. Accessed through GBIF data portal <http://www.conabio.gob.mx/institucion/cgi-bin/datos.cgi?Letras=CC&Numero=1>
REF011;Article;"Alves, V. S.; Soares, A. B. A.; Couto, G. S.; Ribeiro, A. B. B.; and Efe, M. A. 1997. Aves do arquipélago dos Abrolhos, Bahia, Brazil. Ararajuba, 5: 209 - 218."
REF012;Web site;American Museum of Natural History, Mammals. Accessed through GBIF data portal <http://data.gbif.org/datasets/resource/8439, 2012-12-04.>
REF013;Thesis;Amescua, M. P. 2015. Aclimatização de saguis híbridos (Callithrix spp.) selvagens ao cativeiro e habituação aos humanos. Universidade Estadual do Norte Fluminense (UENF). 
REF014;Article;"Amora, T. D.; Beltrao-Mendes, R.; and Ferrari, S. F. 2013. Use of Alternative Plant Resources by Common Marmosets (Callithrix jacchus) in the Semi-Arid Caatinga Scrub Forests of Northeastern Brazil. American Journal of Primatology, 75 (4): 333-341."
REF015;Technical document;Amplo Engenharia e GestAo de Projetos / Vale. 2015. Programa de Monitoramento e Mitigação de Atropelamento de Fauna (Expansão da Estrada de Ferro Carajás). 
REF016;Article;"Anderson, C. B.; and Rosemond, A. D. 2007. Ecosystem engineering by invasive exotic beavers reduces in-stream diversity and enhances ecosystem function in Cape Horn, Chile. Oecologia, 154: 141-153. "
REF017;Article;"Anderson, C. B.; Griffith, C. R.; Rosemond, A. D.; Rozzi, R.; and Dollenz, O. 2006. The effects of invasive North American beavers on riparian plant communities in Cape Horn, Chile Do exotic beavers engineer differently in sub-Antarctic ecosystems? Biological conservation, 128: 467-474. "
REF018;Article;"Anderson, C. B.; Lencinas, M. V.; Wallem, P. K.; Valenzuela, A. E. J.; Smanonok, M. P.; and Pastur, G. M. 2014. Engeneering by na invasive species alters lanscape-level ecosystem function, but does not affect biodiversity in fleshwater systems. Diversity and Distributions, 20: 214-222. "
REF019;Article;"Anderson, C. B.; Rozzi, R.; Torres-Mura, J. C.; McGehee, S. M.; Sherriffs, M. F.; Schuttler, E.; and Rosemond, A. D. 2006. Exotic vertebrate fauna in the remote and pristine sub-Antarctic Cape Horn Archipelago, Chile. Biodiversity and Conservation, 15: 3295–3313."
REF020;Article;"Andrade-Nunez, M. J.; and Aide, T. M. 2010. Effects of habitat and landscape characteristics on medium and large mammal species richness and composition in northern Uruguay. Zoologia, 27 (6): 909-917."
REF021;Article;"Aprile, G.; and Chicco, D. 1999. Nueva especie exotica de mamifero en la Argentina: La ardilla de vientre rojo (Callosciurus erythraeus). Mastozoologia Neotropical, 6 (1):7-14."
REF022;Article;"Araujo, A.; Arruda, M. F.; Alencar, A. I.; Albuquerque, F.; Nascimento, M. C.; and Yamamoto, M. E. 2000. Body weight of wild and captive common marmosets (Callithrix jacchus). International Journal of Primatology 21 (2): 317-324."
REF023;Article;"Araujo, A.; Sousa, and M. B. C. 2008. Testicular volume and reproductive status of wild Callithrix jacchus. International Journal of Primatology, 29 (5): 1355 - 1364."
REF024;Data base ;Arctos, Division of Mammals, Museum of Southwestern Biology, Albuquerque, NM. Accessed through GBIF data portal <http://data.gbif.org/datasets/resource/980, 2012-12-04>
REF025;Data base ;Arctos, MVZ Mammal Catalog. Accessed through GBIF data portal <http://data.gbif.org/datasets/resource/8121, 2012-12-04>
REF026;Article;"Arimoro, O. A. S.; Lacerda, A. C. R.; Tomas, W. M.; Astete, S.; Roig, H. L.; and Marinho-Filho, J. 2017. Artillery for Conservation: The Case of the Mammals Protected by the Formosa Military Training Area, Brazil.Tropical Conservation Science, 10: 1-13."
REF027;Data base ;"Arnaud, G.; Breceda, A.; Alvarez-Cardenas, S.; Cordero, A.; Bonfil, C.; and Galina, P. 2014. Cerdos asilvestrados -Sus scrofa- en la reserva de la Biosfera Sierra La Laguna: evaluacion e impacto sobre la biodiversidad. Centro de Investigaciones Biologicas del Noroeste. Hoja de calculo SNIB-CONABIO, proyecto No. GN016. Mexico D.F. Accessed through GBIF data portal <http://www.conabio.gob.mx/institucion/cgi-bin/datos.cgi?Letras=CC&Numero=1>"
REF028;Data base ;"Arroyo Cabrales, J.; Polaco, O. J.; and Johnson, E. 2005. La mastofauna del cuaternario tardio de Mexico. Instituto Nacional de Antropologia e Historia. Bases de datos SNIB-CONABIO proyecto No. G012. Mexico, D. F. Accessed through GBIF data portal <http://www.conabio.gob.mx/institucion/proyectos/resultados/InfG012.pdf>"
REF029;Article;"Arruda, M. F.; Araujo, A.; Sousa, M. B. C.; Albuquerque, F. S.; Albuquerque, A. C. S. R.; and Yamamoto, M. E. 2005. Two breeding females within free-living groups may not always indicate polygyny: alternative subordinate female strategies in common marmosets (Callithrix jacchus). Folia primatologica, 76 (1): 10-20."
REF030;Article;"Ayala, B. P. A.; Caldano, L.; Junior, P. M. G. ; Pissinatti, A.; Marques, M. C.; Wormell, D.;  and Freitas, P. D. 2017. Genetic assessment for the endangered black lion tamarin Leontopithecus chrysopygus (Mikan, 1823), Callitrichidae, Primates. American Journal of Primatology, 79: 1 - 13."
REF031;Article;"Balasubramaniam, K. N.; Beisner, B. A.; Berman, C. M.;De Marco, A.; Duboscq, J.; Koirala, S.; Majolo, B.; Macintosh, A. J.; McFarland, R.; Molesti, S.; Ogawa, H.; Petit, O.; Schino, G.; Sosa, S.; Sueur, C.; Thierry, B.; Waal, F. B. M.; and McCowan, B. 2017. The influence of phylogeny, social style, and sociodemographic factors on macaque social network structure. American Journal of Primatology, 80: 1- 15.
"
REF032;Article;Baldone, V., L. Fuchs, M. Rojas, M. Fort, C. Venturini, and H. Giménez. 2006. Estudios serológicos de taxoplasmosis y neosporosis en la liebre europea (Lepus europaeus) en la provincia de La Pampa (Argentina). Boletin de divulgación técnica (EEA Anguil) 90:152-156.
REF033;Article;"Bales, K. L. 2017. American Journal of Primatology: Goals and priorities of a new editor. American Journal of Primatology, 80:1.
"
